rank,char,pinyin,pinyin_no_accents,meaning,alternative,alternative2,trad1,trad2
10,他,tā,ta,"he, him, his, (she, her, it, its), (=其他 qítā) other",,,,
10,他,tuō,tuo,"(in classical texts) someone else, something else",,,,
11,这,zhè,zhe,"this; 这儿 zhèr here",,,這,
11,这,zhèi,zhei,"this (before classifier)",,,,
12,中,zhōng,zhong,"middle, in; 中国 Zhōngguó China",,,,
12,中,zhòng,zhong,"hit (a target)",,,,
13,大,dà,da,"big; 多大? duōdà? how large?; 大小 dàxiǎo size; 大家 dàjiā everybody",,,,
13,大,dài,dai,"大夫 dàifu doctor",,,,
14,来,lái,lai,"come; 原来 yuánlái originally, as a matter of fact; 来年 láinián coming/next year(s)",,,來,
14,来,lai,lai,"(when used as a verb complement); 起来 qǐlai get up",,,,
15,上,shàng,shang,"above, on, over, top, (go) up, last, previous",,,,
15,上,shǎng,shang,"上声 shǎngshēng 3rd tone in Mandarin",,,,
15,上,shang,shang,"(when used as a verb complement)",,,,
16,国,guó,guo,"(=国家 guójiā) country, state, nation, <family name>; 中国 Zhōngguó China; 美国 Měiguó USA",,,國,
17,个,gè,ge,"<general and non-specific classifier>; 个人 gèrén personal; 个人主页 gèrénzhùyè personal homepage",,,個,箇
17,个,gě,ge,"自个 zìgě oneself",,,,
18,到,dào,dao,"to, towards, until, arrive, reach",,,,
19,说,shuō,shuo,"explain, scold, refer to, (=说话 shuōhuà) speak, say; 游说 yóushuō persuade",,,說,
19,说,shuì,shui,"try to persuade; 游说 yóushuì lobbying",,,,
20,们,men,men,"<pluralizing suffix for pronouns and nouns referring to persons>; 我们 wǒmen we; 人们 rénmen people, persons",,,們,
21,为,wèi,wei,"for, for the sake of, in order to, in this connection",,,為,
21,为,wéi,wei,"do, act, act as, be, become; 认为 rènwéi think or believe that...; 以为 yǐwéi think or believe erroneously that...",,,,
22,子,zǐ,zi,"child, son; 子女 zǐnǚ sons and daughters; 儿子 érzi son",,,,
22,子,zi,zi,"(noun suffix); 桌子 zhuōzi table",,,,
23,和,hé,he,"together, with, (F龢) harmony, gentle, mild, kind, <family name>; 和平 hépíng peace",,,,
23,和,Hé,He,Japan,,,,
23,和,huo,huo,"暖和 nuǎnhuo nice and warm",,,,
23,和,hè,he,"join in singing, compose a poem in reply",,,,
23,和,huó,huo,"mix with water",,,,
23,和,huò,huo,"mix, blend",,,,
23,和,hú,hu,"complete a set in Mahjong",,,,
24,你,nǐ,ni,"(Alternative feminine form: 妳 nǐ) you, your; 你们 nǐmen you (plural)",,,,
25,地,dì,di,"earth, ground, soil, place, position, distance; 地支 dìzhī the Twelve Terrestrial Branches",,,,
25,地,de,de,"<adverbial particle: descripion + 地 + verb>, ~ly; 快地走 kuàide zǒu walk quickly",,,,
26,出,chū,chu,"go out, come out, in direction out from something, emit, issue, prouce; 出现 chūxiàn appear, emerge, (F齣) <classifier for operas and plays>",,,,
27,道,dào,dao,"way, path, channel, way, say, a streak (of light), doctrine, <classifier for rivers, topics, etc.>, (=道教 Dàojiào) Taoism; 知道 zhīdao know",,,,
27,道,dǎo,dao,"(=导 dǎo) lead; 领道 = 领导 lǐngdǎo leader",,,,
28,也,yě,ye,"also, as well; 也许 yěxǔ perhaps",,,,
29,时,shí,shi,"period, season, (=时间 shíjiān, =时候 shíhou) time, (=小时 xiǎoshí) hour",,,時,
30,年,nián,nian,"year, <family name>; 今年 jīnnián this year; 明年 míngnián next year; 去年 qùnián last year; 中年 zhōngnián middle age",,,,
31,得,de,de,"<adverbial particle: verb + 得 + descripion>; 走得快 zǒude kuài walk quickly",,,,
31,得,dé,de,"get, reach, achieve",,,,
31,得,děi,dei,should,,,,
32,就,jiù,jiu,"just, simply, right away; 就要 jiùyào about to (do something); 这就是我! Zhè jiùshì wǒ! This is simply me!; 他就要去. Tā jiùyào qù. He is about to leave.",,,,
33,那,nà,na,that,,,,
33,那,nèi,nei,"that (before classifier)",,,,
33,那,nuó,nuo,"禅那 chánnuó deep meditation",,,,
33,那,nuò,nuo,"无那 wúnuò helpless, unfortunately",,,,
33,那,nǎ,na,"(=哪 nǎ) what?",,,,
33,那,něi,nei,"(=哪 něi before classifier) which?",,,,
34,要,yào,yao,"want, will, shall, need, important, essential; 主要 zhǔyào main, fundamental",,,,
34,要,yāo,yao,"要求 yāoqiú demand",,,,
35,下,xià,xia,"below, under, (go) down, next (as opposed to previous/last)",,,,
36,以,yǐ,yi,"use, take, according to, because of, in order to; 可以 kěyǐ OK, may; 所以 suǒyǐ so, therefore, as a result; 以外 yǐwài beyond, except",,,,
37,生,shēng,sheng,"give birth, life; 先生 xiānsheng mister, gentleman, Sir",,,,
38,会,huì,hui,"can, able, meet, meeting, society, union, party",,,會,
38,会,kuài,kuai,"会计 kuàijì accounting",,,,
38,会,huǐ,hui,"会儿 huìr moment",,,,
39,自,zì,zi,"from, since, (=自己 zìjǐ) self; 自然 zìrán nature",,,,
40,着,zhe,zhe,"<verb particle marking a continuing progress/state>",,,著,
40,着,zháo,zhao,touch,,,,
40,着,zhuó,zhuo,"wear clothes, dress, touch",,,,
40,着,zhāo,zhao,"put in, add, (F招) make move in chess, trick, decieve",,,,
41,去,qù,qu,"go, leave, depart (opposite of 来 lái)",,,,
42,之,zhī,zhi,"<subordinator similar to 的 de>, it (in classical texts)",,,,
43,过,guò,guo,"pass, cross, go by, exceed, <verb particle marking that someone has had the experience of doing something, that it has happened at least once>; 过马路 guò mǎlù cross the street; 我去过中国两次. wǒ qùguo Zhōngguó liǎng cì. I have gone to China twice.",,,過,
44,家,jiā,jia,"home, house, family; 国家 guójiā nation; 大家 dàjiā everybody",,,,
44,家,jie,jie,"整天家 zhěngtiānjie all day long; 家里 jiālǐ (at) home, (in the) family",,,,
45,学,xué,xue,"study, learn; 学校 xuéxiào school; 学生 xuésheng student",,,學,
46,对,duì,dui,"correct, answer, treat, agree, mutual, pair; 对不起 duìbuqǐ excuse me",,,對,
47,可,kě,ke,"~able, (=可以 kěyǐ) may, can, (=可是 kěshì) but, however; 可爱 kě'ài loveable, cute; 可能 kě'néng possible, probable, maybe; 可口可乐 kěkǒukělè Coca Cola",,,,
47,可,kè,ke,"可汗 kèhán khan",,,,
48,她,tā,ta,"she, her",,,,
49,里,lǐ,li,"neighbourhood, half kilometer, <family name>, (F裏,裡) in, inside, lining; 哪里? nǎli? where?; 那里 nàli there; 这里 zhèli here",,,,
50,后,hòu,hou,"queen, (F後) after, behind, <family name>; 后天 hòutiān the day after tomorrow",,,,
51,小,xiǎo,xiao,"small; 大小 dàxiǎo size",,,,
52,么,me/mo,me/mo,"(F麼,末) (interrogative suffix) 什么? shénme? what?; 为什么? wèishénme? why? 没什么! méi shénme! It doesn't matter!, Never mind!; 怎么? zěnme? how?",,,,
52,么,yāo,yao,"(S幺) youngest, one (e.g. in bus/house/phone numbers)",,,,
53,心,xīn,xin,"heart; 小心 xiǎoxīn be careful; 心理 xīnlǐ psychology, mentality; 中心 zhōngxīn center",,,,
54,多,duō,duo,"many, much, more; 多大 duōdà how large?; 多少 duōshǎo how many/much?",,,,
55,天,tiān,tian,"sky, heaven, god, day, (=天空 tiānkōng) sky; 天气 tiānqì weather",,,,
56,而,ér,er,"(=而且 érqiě) and, furthermore, (=然而 rán'ér) yet, even so",,,,
57,能,néng,neng,"can, be able; 能够 nénggòu be capable of; 可能 kě'néng maybe",,,,
58,好,hǎo,hao,"good, good to..., easy to...; 你好! Nǐhǎo! Hello!",,,,
58,好,hào,hao,"to like",,,,
58,好,hāo,hao,"好好儿 hǎohāor in perfectly good condition",,,,
59,都,dōu,dou,all,,,,
59,都,dū,du,"(=首都 shǒudū) capital city",,,,
60,然,rán,ran,"right, correct, so, like that; 虽然 suīrán although; 忽然 hūrán suddenly; 当然 dāngrán of course; 自然 zìrán nature",,,,
61,没,méi,mei,"(=没有 méiyǒu) haven't, there isn't; 有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?",,,沒,
61,没,mò,mo,"sink, overflow, disappear, confiscate",,,,
62,日,rì,ri,"sun, (=日子 rìzi) day; 日记 rìjì diary; 日光 rìguāng sunlight",,,,
63,于,yú,yu,"<family name>, (F於) in, at, for, to, from, by, than",,,,
64,起,qǐ,qi,"rise, start; 起来 qǐlai get up; 对不起 duìbuqǐ excuse me",,,,
64,起,qi,qi,"(when used as a verb complement)",,,,
65,还,hái,hai,"still, yet",,,還,
65,还,huán,huan,"return, give back",,,,
66,发,fā,fa,"(F發) deliver, utter, express, shoot, emit, develop, expand",,,,
66,发,fà,fa,"(F髮) hair",,,,
66,发,fa,fa,"(F髮) 头发 tóufa hair",,,,
67,成,chéng,cheng,"(=成为 chéngwéi, =变成 biànchéng) become, <family name>; 成功 chénggōng succeed; 完成 wánchéng accomplish, complete, fulfill; 成语 chéngyǔ idiom",,,,
68,事,shì,shi,"matter, affair, thing, event, accident, job, responsibility; 事情 shìqing situation",,,,
69,只,zhǐ,zhi,"only, just, merely, <classifier implying ""one of a pair"", animals, vessels, utensils, etc.>; 一只猫 yì zhǐ māo a cat",,,祇,
69,只,zhī,zhi,"(F隻) single, one, only",,,,
70,作,zuò,zuo,"do, make; 工作 gōngzuò work; 作业 zuòyè homework",,,,
70,作,zuó,zuo,"作践 zuójian spoil, waste, humiliate, insult",,,,
70,作,zuō,zuo,do,,,,
71,当,dāng,dang,"(F當) serve as, (F噹) ding-dong",,,,
71,当,dàng,dang,"(F當) proper, right, equal, (=当作 dàngzuò) treat as, regard as",,,,
72,想,xiǎng,xiang,"think, feel, consider, want, remember",,,,
73,看,kàn,kan,"see, look at, read, think, consider",,,,
73,看,kān,kan,"look after, tend; 看守 kānshǒu guard",,,,
74,文,wén,wen,"language, literature, <family name>; 文化 wénhuà culture; 中文 Zhōngwén Chinese (written) language",,,,
75,无,wú,wu,"without, nothingness, have not",,,無,
75,无,mó,mo,"南无 nánmó <Sanskrit> to give oneself totally to",,,,
76,开,kāi,kai,"open; 开始 kāishǐ begin 打开 dǎkāi open, unfold",,,開,
76,开,kai,kai,"(when used as a verb complement)",,,,
77,手,shǒu,shou,"hand, a person skilled in something; 挥手 huīshǒu wave; 拍手 pāishǒu clap; 握手 wòshǒu shake/clasp hands",,,,
78,十,shí,shi,"ten; 十三 shísān thirteen; 五十 wǔshí fifty; 十月 shíyuè October",拾,,,
79,用,yòng,yong,"use; 好用 hǎoyòng useful; 不用 búyòng there's no need; 使用 shǐyòng use, apply",,,,
80,主,zhǔ,zhu,"lord, master, host, god, (=主要 zhǔyào) main, primary; 主义 zhǔyì doctrine, ~ism; 主页 zhùyè homepage",,,,
81,行,xíng,xing,"go, OK; 行动 xíngdòng action, operation, move, get about, act",,,,
81,行,háng,hang,"line; 银行 yínháng bank; 行业 hángyè profession",,,,
81,行,hàng,hang,"树行子 shùhàngzi rows of trees",,,,
81,行,héng,heng,"(phonetic radical)",,,,
82,方,fāng,fang,"side, square; 地方 dìfang place; 方面 fāngmiàn aspect",,,,
83,又,yòu,you,"again, both... and...",,,,
84,如,rú,ru,"like, as, as if, (=如果 rúguǒ) if; 如此 rúcǐ like this",,,,
85,前,qián,qian,"in front, previous, ago, former, first; 前天 the day before yesterday",,,,
86,所,suǒ,suo,"place; 所以 suǒyǐ so, therefore; 所有 suǒyǒu all; 厕所 cèsuǒ toilet",,,,
87,本,běn,ben,"basis, origin, edition, <classifier for books, periodicals, files, etc.>; 本人 běnrén I, me, myself; 日本 Rìběn Japan",,,,
88,见,jiàn,jian,"appear to be, meet with, call on, (=看见 kànjian) see; 意见 yìjian idea, view, opinion; 听见 tīngjiàn hear",,,見,
88,见,xiàn,xian,"show, appear, become visible",,,,
89,经,jīng,jing,"longitude (both geographic and in Chinese medecin), scripture, constant, regular, <family name>, deal with, (=经纪 jīngjì) manage (a business); 已经 yǐjing already; 经过 jīngguò pass, go through; 经验 jīngyàn experience; 经由 jīngyóu via, by way of; 经常 jīngcháng frequent, daily; 易经 Yìjīng Book of Changes;",,,經,
90,头,tóu,tou,"head, top, first, <classifier for livestock, garlic, etc.>; 头发 tóufa hair",,,頭,
90,头,tou,tou,"石头 shítou stone",,,,
91,面,miàn,mian,"face, surface, <classifier for mirrors, flags, etc.>, (F麵) wheat flour, (=面条 miàntiáo) noodle; 面包 miànbāo bread",,,,
92,公,gōng,gong,"public, official; 公里 gōnglǐ kilometer; 办公室 bànggōngshì office; 公司 gōngsī company; 公共 gōnggòng public, communal, common; 公共汽车 gōnggòngqìchē (public) bus; 李公 Lǐgōng (honorable and old) Mr Li",,,,
93,同,tóng,tong,"same, with; 同志 tóngzhì comrade",,,,
93,同,tòng,tong,"(F衕) 胡同 hútòng lane",,,,
94,三,sān,san,"three; 第三世界 dì-sān shìjiè 3rd World; 三月 sānyuè March",叁,,,
95,已,yǐ,yi,"stop, cease, end, (=已经 yǐjīng) already",,,,
96,老,lǎo,lao,"old, venerable, outdated; 老师 lǎoshī teacher; 老虎 lǎohǔ tiger; 老张 lǎo Zhāng old Zhang = dear (friend) Mr Zhang",,,,
97,从,cóng,cong,"from, through, join, follower, secondary",,,從,
97,从,cōng,cong,"黑从从 hēicōngcōng murky",,,,
98,动,dòng,dong,"move, change, arouce; 动物 dòngwù animal; 活动 huódòng activity; 运动 yùndòng sports",,,動,
99,两,liǎng,liang,"two (before classifier), 50 grams",,,兩,
100,长,cháng,chang,"long, lasting, length",,,長,
100,长,zhǎng,zhang,"grow up, chief, head, older, elder",,,,
101,知,zhī,zhi,"realize, sense, inform, tell, (=知道 zhīdao) know; 知识 zhīshi knowledge",,,,
101,知,zhì,zhi,"(=智 zhì) wit, (=智慧 zhìhuì) wisdom, (=智力 zhìlì) intellect",,,,
102,民,mín,min,"(=人民 rénmín) people, <family name>; 民主 mǐnzhǔ democracy",,,,
103,样,yàng,yang,"appearance, shape, form, manner; 这样 zhèyàng like this; 怎么样 zěnmeyàng how? in what way?",,,樣,
104,现,xiàn,xian,"show, appear, current; 现在 xiànzài now; 发现 fāxiàn discover; 现代 xiàndài modern",,,現,
105,分,fēn,fen,"divide, fraction, minute, cent; 百分之五 bǎifēnzhīwǔ = 5/100 = 5%",,,,
105,分,fèn,fen,"limits of rights or duty",,,,
106,将,jiāng,jiang,"shall; 将来 jiānglái future",,,將,
106,将,jiàng,jiang,"general, a piece in Chinese chess 麻将 májiàng mahjongg",,,,
107,外,wài,wai,"outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side; 外孙 wàisūn daugthers son; 外国人 wàiguórén foreigner; 意外 yìwài unexpected",,,,
108,但,dàn,dan,"(=但是 dànshì) but, still, nevertheless, however, yet",,,,
109,身,shēn,shen,"life, incarnation, <classifier for suits of clothing>, (=身体 shēntǐ) body; 亲身 qīnshēn in person, personally",,,,
110,些,xiē,xie,"some, <classifier for plural or indefinite/small amount>; 一些 yìxiē a number of, some; 这些人 zhèxiē rén these people",,,,
111,与,yǔ,yu,"give, offer, help, support, and",,,與,
111,与,yù,yu,"参与 cānyù participate in",,,,
111,与,yú,yu,"欤 <interrogative/esclamative particle>",,,,
112,高,gāo,gao,"high, tall, loud, <polite> your, <family name>; 提高 tígāo improve; 高兴 gāoxìng happy; 高见 gāojiàn <polite> your opinion/idea",,,,
113,意,yì,yi,"(=意思 yìsi, =意义 yìyì) meaning, idea, (=愿意 yuànyi) wish, desire; 意图 yìtú intention; 意见 yìjian opinion; 意大利 Yìdàlì Italy",,,,
114,进,jìn,jin,"enter, go forward, recieve, drink, eat, submit; 进步 jìnbù progress",,,進,
115,把,bǎ,ba,"grasp, hold, handle, <classifier for things with handles, handfuls, chairs, etc.>",,,,
115,把,bà,ba,"把子 bàzi, 把儿 bàr handle",,,,
116,法,fǎ,fa,"(=法律 fǎlǜ) law, (=办法 bànfǎ) method; 法国 Fǎguó France",,,,
117,此,cǐ,ci,"this; 如此 rúcǐ (=这样 zhèyàng) like this; 此地 cǐdì (=这里 zhèlǐ) here, at this place",,,,
118,实,shí,shi,"solid, true, real; 事实 shìshí fact; 实际上 shíjìshang actually; 实在 shízài really",,,實,
119,回,huí,hui,"circle, return, reply, turns, times, chapter, Muslim, Hui (ethnic minority), <classifier for chapters, times, etc.>; 回来 huílái come back; 回去 huíqù go back; 回答 huídá answer",,,,
120,二,èr,er,"two; 二月 èryuè February",贰,,,
121,理,lǐ,li,"principle; 理论 lǐlùn theory; 管理 guǎnlǐ manage; 心理 xīnlǐ psychology, mentality",,,,
122,美,měi,mei,"(=美丽 meilì) beautiful, (=好 hǎo) good, (=美德 měidé) virtue, <family name>; 美国 Měiguó USA; 美元 měiyuán US$ 美家 měijiā artist",,,,
123,点,diǎn,dian,"a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, <classifier for small amounts>, (=点火 diǎnhuǒ) light a fire; 一点儿 yìdiǎnr a little; 点头 diǎntóu nod one's head",,,點,
124,月,yuè,yue,"month, (=月亮 yuèliang, =月球 yuèqiú) moon",,,,
125,明,míng,ming,"bright, clear, distinct, next (day or year), <family name>; 明白 míngbai clear, understand; 明天 míngtiān tomorrow",,,,
126,其,qí,qi,"its, that, such, they, them; 其他 qítā other; 尤其 yóuqí especially",,,,
126,其,jī,ji,anniversary,,,,
127,种,zhǒng,zhong,"kind, sort, breed, race",,,種,
127,种,zhòng,zhong,"to plant, cultivate",,,,
128,声,shēng,sheng,"voice, declaration, (=声音 shēngyīn) sound, <classifier for sounds>; 声名 shēngmíng reputation, fame, statement, declaration",,,聲,
129,全,quán,quan,"whole, entire, total, complete, <family name>; 完全 wánquán completely; 安全 ānquán safety",,,,
130,工,gōng,gong,"(=工作 gōngzuò) work, job; 工人 gōngrén worker",,,,
131,己,jǐ,ji,"(=自己 zìjǐ) self",,,,
132,话,huà,hua,"speech, word, language, dialect, (=说话 shuōhuà) talk, speak",,,話,
132,话,huo,huo,"白话 báihuo = báihuà vernacular, empty talk",,,,
133,儿,ér,er,"child; 儿子 érzi son; 女儿 nǚ'ér daughter",,,兒,
133,儿,r,r,"(noun suffix); 这儿 zhèr here; 那儿 nàr there",,,,
133,儿,rén,ren,"(when referring to the radical)",,,,
134,者,zhě,zhe,"one who...; 作者 zuòzhě author; 和平主义者 hépíngzhǔyìzhě pacifist",,,,
135,向,xiàng,xiang,"take somebody's part, to, towards, all along, allways, <family name>, (F嚮) direction, towards, (F曏) formerly, previously; 向者 xiàngzhě formerly, once upon a time",,,,
136,情,qíng,qing,"sensibility, (=感情 gǎnqíng) feeling, emotion; 爱情 àiqíng love",,,,
137,部,bù,bu,"(=部分 bùfen) part, section, unit, <classifier for film, large books, machines, etc.>, (=部队 bùduì) troops, army; 西部 xībù western part; 全部 quánbù entire",,,,
138,正,zhèng,zheng,"right, straight, upright, correct",,,,
138,正,zhēng,zheng,"正月 zhēngyuè, 新正 xīnzhēng the 1st month of lunar year",,,,
139,名,míng,ming,"(=名字 míngzi) name, personal name, reputation, famous, <classifier for persons with professional or prominent social identities, e.g. students, doctors, soldiers, workers>; 著名 zhùmíng famous; 名词 míngcí noun",,,,
140,定,dìng,ding,"fix, settle, calm, stable, subscribe, (=决定 juédìng) decide; 一定 yídìng definite",,,,
141,女,nǚ,nǚ,"female, (=女人 nǚrén, =妇女 fùnǚ) woman",,,,
142,问,wèn,wen,"ask, examine; 问题 wèntí question, problem; 访问 fǎngwèn visit",,,問,
143,力,lì,li,"(=活力 nénglì) energy, vitality, <family name>, (=力量 lìliang) strength, force",,,,
144,机,jī,ji,"(=机器 jīqi) machine; 收音机 shōuyīnjī radio; 飞机 fēijī aircraft",,,機,
145,给,gěi,gei,"give, give to, for, for the benefit of; 送给 sònggěi send/present to",,,給,
145,给,jǐ,ji,"give, supply, provide, (=供给 gōngjǐ) provide",,,,
146,等,děng,deng,"equal, class, wait, and so on, etc.",,,,
147,几,jī,ji,"small table, (F幾) 几乎 jīhū almost",,,,
147,几,jǐ,ji,"(F幾) how many?, a few, (used in numerals)",,,,
148,很,hěn,hen,"very, quite; 很好 hěnhǎo very good; 很不错! hěn búcuò! not bad at all!",,,,
149,业,yè,ye,"line of business, trade, occupation, profession, course of study, engage in, <family name>; 商业 shāngyè commerce; 工业 gōngyè industry; 作业 zuòyè homework",,,業,
150,最,zuì,zui,"most, marking for superlative; 最近 zuìjìn recently/soon; 最喜欢 zuì xǐhuan favorite",,,,
151,间,jiān,jian,"room, between, locality, within given time or space, <classifier for rooms>",,,間,
151,间,jiàn,jian,"gap, interval",,,,
151,间,gān,gan,"半间不界 bàn'gānbùgà neither this nor that, inexplicit, equivocal, mediocre",,,,
152,新,xīn,xin,"new, renew; 重新 chóngxīn again; 新闻 xīnwén news",,,,
153,什,shén,shen,"什么 shénme what?",,,甚,
153,什,shí,shi,"(=十 shí) ten",,,,
154,打,dǎ,da,"strike, hit, get, play, (generalized verb with specific meaning determined by its object); 打算 dǎsuan plan, intend; 打开 dǎkāi open, unfold; 打击 dǎjī strike, hitt, attack, assault",,,,
154,打,dá,da,dozen,,,,
155,便,biàn,bian,"(=方便 fāngbiàn) convenient",,,,
155,便,pián,pian,"便宜 piányi cheap",,,,
156,位,wèi,wei,"place, location, position, <polite classifier for people>",,,,
157,因,yīn,yin,"cause, (=因为 yīnwèi) because, (=原因 yuányīn) reason",,,,
158,重,zhòng,zhong,"weight, considerable in amount/value, (=沉重 chénzhòng) heavy, weighty, (=重要 zhòngyào) important",,,,
158,重,chóng,chong,again,,,,
159,被,bèi,bei,"quilt, cover (with), by (indicates passive voice)",,,,
159,被,pī,pi,"被服 pīfú = bèifú bedding and clothing, something one hangs on to",,,,
160,走,zǒu,zou,"go, walk, leave",,,,
161,电,diàn,dian,"(=闪电 shǎndiàn) (flash of) lightning, (=电气 diànqì) electricity; 电话 diànhuà phone; 电脑 diànnǎo computer",,,電,
162,四,sì,si,"four; 四周 sìzhōu all around; 四月 sìyuè April",肆,,,
163,第,dì,di,"indicating ordinal number, ~th; 第三世界 dì-sān shìjiè 3rd World; 第一次 dì-yī cì 1st time",,,,
164,门,mén,men,"door, gate, family, house, valve, switch, <family name>, <classifier for courses, braches of science, etc.>; 门口 ménkǒu doorway; 部门 bùmén department; 门铃 ménlíng doorbell",,,門,
165,相,xiāng,xiang,"each other, mutual, mode, phase, <family name>",,,,
165,相,xiàng,xiang,"look at, appearance, photo",,,,
166,次,cì,ci,"occurence, time, second, inferior, number of times; 两次 liǎng cì twice",,,,
167,东,dōng,dong,"master, owner, <family name> (=东方 dōngfāng) east; 东北 dōngběi northeast; 东西 dōngxi thing, creature",,,東,
168,政,zhèng,zheng,"(=政治 zhèngzhì) politics, political affairs, (=政府 zhèngfǔ) government",,,,
169,海,hǎi,hai,"sea, big lake, <family name>, (=海洋 hǎiyáng, =大海 dàhǎi) sea, ocean",,,,
170,口,kǒu,kou,"mouth, opening, entrance, hole, cut, <classifier for mouthfuls, people, wells, etc.>; 门口 ménkǒu doorway; 人口 rénkǒu population",,,,
171,使,shǐ,shi,"make, cause to (do), send (as envoy), (=使用 shǐyòng) use, apply",,,,
172,教,jiāo,jiao,"teach; 王老师教数学. Wáng lǎoshī jiāo shùxué. Teacher Wang teaches math.",,,,
172,教,jiào,jiao,"cause, ask to, teach; 教师 jiàoshī teacher, instructor; 教育 jiàoyù education",,,,
173,西,xī,xi,"west, western; 东西 dōngxi thing; 西北 xīběi northwest",,,,
174,再,zài,zai,"again, once more; 再见 zàijiàn goodbye",,,,
175,平,píng,ping,"flat, level, even; 水平 shuǐpíng level; 和平 hépíng peace; 平常 píngcháng ordinary, common, usually",,,,
176,真,zhēn,zhen,"true, genuine, really",,,,
177,听,tīng,ting,"listen; 听见 tīngjiàn hear; 听不懂 tīngbudǒng don't understand (by listening)",,,聽,
178,世,shì,shi,"generation, <family name>, (=世界 shìjiè) world; 世纪 shìjì century",,,,
179,气,qì,qi,"air, gas, vapor, spirit, vital energy; 天气 tiānqi weather",,,氣,
180,信,xìn,xin,"letter, message, information, (=相信 xiāngxìn) belive in; 信封 xìnfēng envelope",,,,
181,北,běi,bei,"north; 东北 dōngběi northeast; 北京 Běijīng",,,,
182,少,shǎo,shao,"few, little, less, lack",,,,
182,少,shào,shao,"young; 少年 shàonián juvenile",,,,
183,关,guān,guan,"shut, close, turn off, close down, concern, key part; 关系 guānxi connection; 关于 guānyú concerning",,,關,
184,并,bìng,bing,"(F併) combine, merge, (F並) and, equally, truly",,,,
184,并,bīng,bing,"并州 Bìng Zhōu (Taiyuan in Shanxi)",,,,
185,内,nèi,nei,"inside; 内容 nèiróng content",,,內,
186,加,jiā,jia,"add, plus, append, (=增加 zēngjiā) increase; 参加 cānjiā join",,,,
187,化,huà,hua,"convert, melt, dissolve, digest, incinerate, (=变化 biànhuà) change, transform",,,,
187,化,huā,hua,"(=花 huā) spend",,,,
188,由,yóu,you,"from, let, (=由于 yóuyú) due to, (=理由 lǐyóu) cause, reason; 自由 zìyóu freedom",,,,
189,却,què,que,"however, but, yet",,,卻,
190,代,dài,dai,"(=代表 dàibiǎo) represent, (=时代 shídài) generation, period, epoch, <classifier for periods>; 现代 xiàndài modern (times); 上代 shàngdài previous generation",,,,
191,军,jūn,jun,"army, military, troops",,,軍,
192,产,chǎn,chan,"give birth to, (=产生 chǎnshēng) produce, (=产品 chǎnpǐn) product",,,產,
193,入,rù,ru,"(=进入 jìnrù) enter, get into; 收入 shōurù income",,,,
194,先,xiān,xian,"first, before, earlier; 先生 xiānsheng mister, gentleman, Sir; 祖先 zǔxiān = 先辈 xiānbèi ancestor",,,,
195,山,shān,shan,"hill, mountain, <family name>; 火山 huǒshān volcano; 山脉 shānmài mountain range",,,,
